id,skus
92,01025,01025
111,00806,01556,porous membrane 1.5x100,01556,00806
130,01034,01034
149,01032,01032
323,PRIME_SL_138_T_white_0020
325,PRIME_SL_138_T_white_0050
326,PRIME_SL_138_T_white_0100
1102,blk-net_20_013
1103,blk-net_20_014
1330,BLK-POT_20LT-X-1000,BLK-POT_20LT-X-1000,BLK-POT_20LT-X-1000
1349,BLACK_PLANT_POT_25L_1000,BLK-POT_25LT-X-1000,BLK-POT_25LT-X-1000
1404,PLANT-POT_60LTR-X-400
1474,blk-saucer_28cm_001,blk-saucer_28cm_001
1475,blk-saucer_28cm_002,blk-saucer_28cm_002
1476,blk-saucer_28cm_004,blk-saucer_28cm_004
1477,blk-saucer_28cm_006,blk-saucer_28cm_006
1478,blk-saucer_28cm_008,blk-saucer_28cm_008
1479,blk-saucer_28cm_010,blk-saucer_28cm_010
1480,blk-saucer_28cm_015,blk-saucer_28cm_015
1481,blk-saucer_28cm_020,blk-saucer_28cm_020
1482,blk-saucer_28cm_030,blk-saucer_28cm_030
1483,blk-saucer_28cm_040,blk-saucer_28cm_040
1484,blk-saucer_28cm_050,blk-saucer_28cm_050
1485,blk-saucer_28cm_060,blk-saucer_28cm_060
1486,blk-saucer_28cm_070,blk-saucer_28cm_070
1487,blk-saucer_28cm_080,blk-saucer_28cm_080
1488,blk-saucer_28cm_090,blk-saucer_28cm_090
1489,blk-saucer_28cm_100,blk-saucer_28cm_100
1506,03344,3344,blk-saucer_32cm_001,blk-saucer_32cm_001,03344
1507,3345,blk-saucer_32cm_002,blk-saucer_32cm_002,03345
1508,3346,blk-saucer_32cm_004,03346,blk-saucer_32cm_004
1509,3347,blk-saucer_32cm_006,03347,blk-saucer_32cm_006
1510,3348,blk-saucer_32cm_008,03348,blk-saucer_32cm_008
1511,3349,blk-saucer_32cm_010,03349,blk-saucer_32cm_010
1512,3350,blk-saucer_32cm_015,blk-saucer_32cm_015,03350
1513,3351,blk-saucer_32cm_020,blk-saucer_32cm_020,03351
1514,3353,blk-saucer_32cm_030,blk-saucer_32cm_030,03353
1515,3355,blk-saucer_32cm_040,03355,blk-saucer_32cm_040
1516,3357,blk-saucer_32cm_050,blk-saucer_32cm_050,03357
1517,3358,blk-saucer_32cm_060,03358,blk-saucer_32cm_060
1518,3359,blk-saucer_32cm_070,03359,blk-saucer_32cm_070
1519,3360,blk-saucer_32cm_080,03360,blk-saucer_32cm_080
1520,3361,blk-saucer_32cm_090,03361,blk-saucer_32cm_090
1521,03362,3362,blk-saucer_32cm_100,03362,blk-saucer_32cm_100
1796,cellpack_4_0500,cellpack_4_0500,cellpack_4_0500
1797,cellpack_4_0600,cellpack_4_0600,cellpack_4_0600
1798,cellpack_4_0700,cellpack_4_0700,cellpack_4_0700
1800,cellpack_4_1000,cellpack_4_1000,cellpack_4_1000
1815,cellpack_6_0500,cellpack_6_0500,cellpack_6_0500
1816,cellpack_6_0600,cellpack_6_0600,cellpack_6_0600
1817,cellpack_6_0700,cellpack_6_0700,cellpack_6_0700
1819,cellpack_6_1000,cellpack_6_1000,cellpack_6_1000
1834,cellpack_9_0500,cellpack_9_0500,cellpack_9_0500
